	R2.ESC.hapinfo.txt	R2.ipsNT.hapinfo.txt	R2.tissue.hapinfo.txt	Pvalue
chr10:6473484-6473527	0.471	0.308	0.076	2.32988284939394e-90
chr10:66421396-66421412	0.633	0.074	0.073	9.86935790177634e-110
chr10:66494445-66494479	0.634	0.132	0.17	1.07287367420602e-101
chr10:66519301-66519350	0.623	0.28	0.638	1.28331739426911e-69
chr10:66519520-66519560	0.585	0.047	0.709	1.52601892008171e-170
chr10:66533496-66533546	0.611	0.189	0.129	1.00744060377333e-75
chr10:66546548-66546594	0.112	0.355	0.647	7.75378185074112e-91
chr10:66562031-66562068	0.125	0.131	0.489	8.99646508200949e-28
chr10:66562080-66562143	0.131	0.001	0.411	5.56329326981575e-27
chr10:66668127-66668149	0.503	0.13	0.824	2.72943991962229e-153
chr10:67299237-67299355	0.547	0.495	0.599	0.0827490949829977
chr10:67491574-67491766	0.831	0.528	0.19	2.40335698786236e-89
chr10:67492926-67493100	0.636	0.47	0.23	3.30375404319043e-69
chr10:67493623-67493746	0.642	0.117	0.034	6.24632157562559e-163
chr10:67495245-67495265	0.648	0.188	0.073	3.71371260825063e-95
chr10:67559777-67559809	0.516	0.423	0.384	1.22866421110388e-09
chr10:67560177-67560216	0.486	0.339	0.025	1.53768888024544e-124
chr10:67565465-67565683	0.649	0.558	0.565	3.28068751606329e-29
chr10:67584693-67584945	0.633	0.615	NA	1.75640199716343e-08
chr10:67608976-67609016	0.413	0.178	0.463	2.50577884906908e-37
chr10:67644028-67644067	0.518	0.425	0.169	1.2680057102213e-33
chr10:67644374-67644400	0.771	0.304	0.029	1.63110945443872e-116
chr10:67654615-67654635	0.577	0.143	0.562	6.30279810352063e-106
chr10:67664890-67664931	0.682	0.082	0.165	1.89748087142068e-84
chr10:67726351-67726552	0.801	0.166	0.464	1.85110179813149e-74
chr10:67732753-67732835	0.763	0.036	0.145	8.23832523853175e-140
chr10:67808094-67808117	0.455	0.285	0.433	1.09825397830083e-29
chr10:67808823-67808857	0.513	0.401	0.122	1.61778254327949e-74
chr10:68570207-68570229	0.46	0.033	0.477	1.09520136535431e-65
chr10:68613851-68613869	0.495	0.17	0.627	4.38899798870088e-105
chr10:68648719-68648753	0.559	0.256	0.227	5.7689533738002e-29
chr10:68775018-68775028	0.65	0.248	0.087	8.04600919197075e-135
chr10:68795411-68795439	0.664	0.245	0.031	1.45343223599583e-102
chr10:68827838-68827857	0.39	0.302	0.212	1.18171449740811e-17
chr10:68990172-68990186	0.682	0.371	0.205	2.5654482449857e-68
chr10:69407804-69407815	0.704	0.177	0.447	7.1275177359274e-37
chr10:69448945-69449028	0.627	0.212	0.09	1.61125777542704e-100
chr10:69449040-69449133	0.689	0.172	0.102	1.53361545375814e-126
chr10:69449145-69449163	0.76	0.362	0.154	7.62265057639987e-92
chr10:69449481-69449577	0.565	0.488	0.035	2.81865454706528e-115
chr10:69449647-69449668	0.617	0.402	0.009	2.98789048702701e-142
chr10:69456397-69456412	0.728	0.171	0.257	1.20697039562463e-81
chr10:69467772-69467840	0.694	0.187	0.01	7.59183425495492e-184
chr10:69469575-69469585	0.659	0.221	0.166	3.48884730651773e-79
chr10:69473958-69473965	0.727	0.201	0.191	1.59341947129623e-139
chr10:69634277-69634283	0.59	0.143	0.034	9.37613961548492e-95
chr10:69651913-69651922	0.11	0.206	0	4.22222431796398e-27
chr10:69651947-69652000	0.227	0.095	0.101	1.33428287481777e-10
chr10:69652162-69652195	0.317	0.132	0.052	7.23498356354461e-54
chr10:69685959-69685979	0.503	0.302	0.51	1.9226245330362e-30
chr10:69827833-69827900	0.465	0.392	0.028	2.20617193196869e-102
chr10:69885015-69885037	0.71	0.051	0.164	5.93125376570293e-142
chr10:70293503-70293538	0.636	0.272	0.118	2.55545125745291e-97
chr10:70306503-70306586	0.629	0.334	0.258	1.9436832166004e-19
chr10:70387974-70387999	0.625	0.271	0.074	4.54299920310142e-62
chr10:70402810-70402819	0.744	0.051	0.395	2.81003855103078e-171
chr10:70638095-70638120	0.509	0.045	0.389	1.31715528134802e-53
chr10:70727313-70727593	0.876	0.922	0.449	1.99287453317855e-41
chr10:70799125-70799153	0.518	0.001	0.062	2.28562383476879e-65
chr10:70831079-70831088	0.513	0.326	0.636	2.05045800142319e-65
chr10:70844217-70844270	0.409	0.051	0.224	4.57647075368143e-59
chr10:70844325-70844379	0.358	0.344	0.229	9.40781121834347e-22
chr10:70844385-70844458	0.427	0.079	0.335	3.08807752070267e-60
chr10:73079775-73079786	0.607	0.219	0.19	5.54329136708836e-51
chr10:7328530-7328565	0.714	NA	0.064	1.02558710198941e-101
chr10:7328601-7328637	0.618	NA	0.111	1.37927946816292e-69
chr10:7328643-7328679	0.634	0.451	0.122	1.25601054375875e-70
chr10:74325899-74326016	0.556	NA	0.058	1.71071456627288e-73
chr10:74636493-74636555	0.632	0.477	0.612	1.22076125717595e-14
chr10:74693623-74693911	0.727	0.353	NA	0.000112370336604834
chr10:74724791-74724798	0.53	0.292	0.02	1.4279560657932e-48
chr10:75322196-75322259	0.797	NA	NA	NA
chr10:75322491-75322549	0.901	NA	NA	NA
chr10:75399666-75399684	0.322	0.192	0.356	6.23473766556344e-10
chr10:75502496-75502508	0.509	0.172	0.114	5.85106766372496e-66
chr10:75899209-75899215	0.515	0.376	0.151	7.85467914755767e-53
chr10:75902837-75902876	0.408	0.286	0.078	4.76397597881703e-41
chr10:75902970-75903052	0.386	0.248	0.093	6.3689032614472e-66
chr10:75903058-75903103	0.333	0.144	0.166	1.03290338105238e-15
chr10:75903195-75903269	0.422	0.184	0.204	3.89912738118729e-31
chr10:75943812-75943840	0.687	0.308	0.176	2.58933463053993e-115
chr10:76655608-76655624	0.452	0.178	0.427	6.84342056868221e-47
chr10:76655713-76655739	0.241	0.352	0.373	1.8344670020587e-14
chr10:76728536-76728573	0.649	0.124	0.009	4.38732730570347e-129
chr10:7676108-7676131	NA	NA	1	NA
chr10:76962395-76962420	0.522	0.483	0.028	1.24942557074725e-77
chr10:77511901-77511912	0.555	0.236	0.212	1.54175413752607e-87
chr10:77512786-77512816	0.439	0.284	0.14	1.09141414355904e-49
chr10:77663567-77663648	0.682	0.372	0.036	1.88517632510191e-91
chr10:77760475-77760486	0.57	0.188	0.526	2.17846939827291e-75
chr10:77919537-77919547	0.634	0.199	0.639	3.44757323589391e-99
chr10:77919579-77919612	0.578	0.023	0.603	6.43537220137732e-115
chr10:77926602-77926710	0.649	0.31	0.488	4.3001169084759e-42
chr10:79138437-79138451	0.074	0.107	0.168	3.63498512172546e-08
chr10:79145168-79145192	1	NA	NA	NA
chr10:79148043-79148089	0.582	0.688	0.021	1.09469152121106e-146
chr10:79150668-79150688	0.335	NA	0.07	5.42467547648309e-45
chr10:79150692-79150703	0.491	NA	0.02	1.27177401296345e-80
chr10:79198118-79198129	0.621	0.452	0.222	8.48748443317974e-38
chr10:79397200-79397219	0.612	0.071	0.53	2.57527134578055e-109
chr10:79397426-79397472	0.643	0.053	0.608	8.01917754165836e-123
chr10:79439253-79439261	0.222	0.111	0.144	2.50957786525552e-05
chr10:79439585-79439594	0.059	0.012	0.001	3.16167306261469e-05
chr10:79439615-79439624	0.016	0.145	0.005	2.39473200409846e-27
chr10:79439741-79439754	0.045	0.085	0.121	2.48972279095327e-09
chr10:79439765-79439801	0.012	0.116	0.064	7.61421601163684e-14
chr10:79439924-79439945	0.047	0.186	0.036	3.36438195871478e-38
chr10:79439973-79439981	0.036	0.119	0.046	1.94343762058042e-08
chr10:79440152-79440186	0.223	0.074	0.02	2.43846385865921e-27
chr10:79440248-79440277	0.134	0.023	0.061	3.29317835827233e-15
chr10:79479680-79479773	0.564	0.222	0.533	7.610341114588e-35
chr10:79520806-79520850	0.167	0.097	0.005	1.54830422943083e-29
chr10:79594499-79594511	0.079	0.119	0.284	3.83268311937203e-15
chr10:79601993-79602016	1	NA	NA	NA
chr10:79717993-79718110	0.633	0.367	0.005	7.33060483063787e-95
chr10:79844410-79844436	0.101	0.085	0	3.03009176302748e-54
chr10:79844442-79844448	0.119	0.041	0.001	6.35486456779606e-27
chr10:79844481-79844529	0.086	0.042	0.011	2.38864363253901e-29
chr10:79845006-79845026	0.242	0.094	0.021	7.51669361497535e-17
chr10:79857797-79857835	0.311	0.354	0.057	9.14435719382065e-33
chr10:79857968-79858049	0.317	0.403	0.099	2.87007576817849e-14
chr10:79858088-79858205	0.524	0.494	0.184	1.52962401236148e-46
chr10:79858211-79858298	0.511	0.219	0.022	4.93675258297826e-86
chr10:79858319-79858347	0.355	0.184	0.07	3.40905673683523e-35
chr10:8000742-8000874	0.503	0.656	0.059	1.0169811346234e-58
chr10:80069141-80069171	0.179	0.428	0.396	1.58212677313183e-16
chr10:80069233-80069245	0.22	0.139	0.421	5.81359973051667e-17
chr10:80069302-80069317	0.328	0.154	0.474	3.05073964379717e-16
chr10:80069373-80069411	0.094	0.507	0.586	1.09592582744537e-55
chr10:80069464-80069479	0.327	0.349	0.546	4.06200490478524e-15
chr10:80069573-80069621	0.291	0.091	0.135	5.00352165877478e-25
chr10:80069636-80069661	0.357	0.023	0.018	7.57340030651731e-94
chr10:80367961-80367968	0.63	0.257	0.144	1.58397155275256e-74
chr10:80520808-80520812	0.694	0.107	0.137	1.0008400560366e-77
chr10:80520814-80520818	0.632	0.005	0.155	9.1742689762647e-102
chr10:80606735-80606758	0.388	0.141	0.045	1.18439618689291e-79
chr10:80606990-80607004	0.223	0.028	0.097	1.57081972028445e-25
chr10:80607010-80607051	0.283	0.061	0.011	1.52398782852756e-67
chr10:80607086-80607131	0.257	0.073	0.084	1.13838027365538e-31
chr10:80607536-80607553	0.39	0.013	0.595	4.53430582553351e-97
chr10:80607688-80607701	0.419	0.126	0.536	7.23888068879887e-75
chr10:80607723-80607731	0.465	0.203	0.316	4.15297513380485e-31
chr10:80607881-80607907	0.364	0.269	0.1	1.98765333285219e-46
chr10:80610783-80610792	0.244	0.1	0.039	2.68606516445809e-31
chr10:80610823-80610885	0.231	0.107	0.011	1.75229456478824e-58
chr10:80610935-80610946	0.19	0.083	0.003	2.90007892891424e-63
chr10:80883457-80883491	0.266	0.363	0.118	4.84230816285289e-28
chr10:80997927-80997949	0.158	0.108	0.093	3.6620392540889e-05
chr10:81118135-81118155	0.473	0.306	0.121	2.37191960052578e-45
chr10:81471252-81471294	0.58	NA	0.508	0.000144791324734253
chr10:81590893-81590915	NA	NA	0.692	NA
chr10:81599966-81600046	0.58	0.362	0.163	4.31452222733516e-21
chr10:8192378-8192384	0.616	0.232	0.208	3.49031739434203e-37
chr10:84066075-84066339	0.863	0.302	0.181	1.13265314569569e-43
chr10:84072263-84072545	0.692	0.397	NA	0.00553913297061725
chr10:84186081-84186102	0.758	0.036	0.069	2.2274009991999e-164
chr10:84237575-84237596	0.414	0.038	0.625	2.45028224993929e-95
chr10:84302781-84302850	0.561	0.227	0.424	9.13609782662165e-28
chr10:84330662-84330783	0.555	0.026	0.294	3.83277462591158e-38
chr10:84406684-84406954	0.716	NA	NA	NA
chr10:8478627-8478635	0.634	0.042	0.427	3.51017609803616e-92
chr10:8479093-8479125	0.61	0.065	0.7	4.18003721731847e-125
chr10:85024263-85024294	0.636	0.234	0.101	1.16559395589391e-83
chr10:85039653-85039699	0.653	0.23	0.618	7.9285676619795e-36
chr10:8525183-8525210	0.634	0.079	0.445	5.14550349597306e-49
chr10:85355170-85355319	0.748	0.313	0.003	2.45089897641101e-111
chr10:85411610-85411639	0.742	0.089	0.336	1.6297671950241e-112
chr10:8545833-8545864	0.779	0.166	0.45	1.16487218831038e-90
chr10:8550711-8550753	0.766	0.138	0.298	2.81749382817553e-81
chr10:8571343-8571361	0.667	0.117	0.336	7.781724716483e-104
chr10:86195127-86195152	0.545	0.148	0.154	2.19734890507947e-16
chr10:86239200-86239285	0.558	0.061	0.744	3.36664643456834e-63
chr10:86283675-86283702	0.669	0.122	0.056	1.2926528445111e-133
chr10:86298708-86298737	0.743	0.173	0.43	1.97536791305617e-108
chr10:87429629-87429640	0.611	0.153	0.152	6.60238796716959e-88
chr10:87964884-87964905	0.627	0.242	0.481	7.88003603023661e-84
chr10:88074873-88074881	0.654	0.217	0.515	4.27261131918365e-84
chr10:88133542-88133562	0.612	0.08	0.082	1.76714875208093e-99
chr10:88167795-88167882	0.657	0.146	0.131	3.89559777936303e-107
chr10:88887017-88887100	0.637	0.207	0.788	1.49638368662926e-80
chr10:88996093-88996099	0.526	0.123	0.728	2.70590740871279e-124
chr10:89223340-89223521	0.616	0.178	0.415	3.88639176572357e-25
chr10:90039372-90039380	0.5	0.043	0.49	1.35536493228804e-100
chr10:90545619-90545627	NA	NA	1	NA
chr10:91039710-91039908	0.675	0.101	0.417	2.60400147098239e-39
chr10:92727992-92728005	0.503	0.151	0.401	1.18753419922882e-36
chr10:92934310-92934366	0.67	0.565	0.103	1.0958756348023e-110
chr10:93204758-93204850	0.62	0.678	0.267	8.53436052492464e-29
chr10:93308823-93308865	0.383	0.103	0.103	1.91499383336496e-78
chr10:93308911-93308990	0.382	0.284	0.058	1.42553042771329e-46
chr10:93309033-93309083	0.349	0.204	0.017	1.35019199521528e-69
chr10:93309092-93309176	0.375	0.24	0.087	1.98704370186269e-47
chr10:93508917-93508954	0.575	0.62	0.298	6.11389694042024e-42
chr10:93861188-93861210	0.565	0.242	0.609	2.40357397801524e-87
chr10:94008520-94008556	0.569	0.146	0.444	1.0238213796538e-66
chr10:94605667-94605733	0.766	0.144	0.389	3.98361572422098e-102
chr10:94638407-94638436	0.203	0.261	0.148	4.60312047111574e-10
chr10:94678237-94678267	0.542	0.267	0.326	1.67296756701191e-47
chr10:94684336-94684465	0.608	0.33	0.139	1.03404370322099e-50
chr10:94714524-94714547	0.287	0.239	0.138	1.07657047517556e-10
chr10:94714644-94714681	0.345	0.082	0.022	5.68564879895265e-50
chr10:94721014-94721018	0.427	0.209	0.271	2.10151931693364e-46
chr10:94773577-94773724	0.475	0.514	0.104	3.31677138430324e-39
chr10:94778180-94778188	0.443	0.13	0.089	4.64464491751557e-77
chr10:94778197-94778237	0.455	0.177	0.033	2.26846604249496e-129
chr10:94778430-94778492	0.444	0.183	0.297	1.44779023641255e-27
chr10:94778507-94778525	0.416	0.079	0.422	0.41273837926465
chr10:94921234-94921263	0.587	0.188	0.598	1.70364256002028e-81
chr10:94926885-94927159	0.86	0.017	0.368	9.96991124990205e-62
chr10:95028370-95028413	0.032	0.147	0.622	4.17449889952199e-75
chr10:9517864-9517871	0.717	0.246	0.138	3.47063645351869e-124
chr10:95179920-95179936	0.575	0.393	0.299	1.07951777359541e-61
chr10:9518042-9518091	0.741	0.124	0.069	2.62653767441945e-89
chr10:95242760-95242846	0.608	0.394	0.638	1.51520043600113e-36
chr10:95342976-95342996	0.501	0.39	0.652	1.27204969210849e-23
chr10:95356060-95356092	0.465	0.218	0.243	7.81264721034353e-28
chr10:9574140-9574284	0.841	NA	0.66	3.77458861216077e-08
chr10:95762905-95762922	0.451	0.219	0.108	4.44953096019205e-74
chr10:95834226-95834240	0.517	0.098	0.528	1.31446091024071e-77
chr10:95942303-95942342	0.663	0.337	0.502	1.55253503772595e-54
chr10:96084880-96084914	0.515	0.076	0.574	2.11489258011366e-121
chr10:96084977-96085002	0.571	0.148	0.598	1.50187227804745e-107
chr10:96122976-96122992	0.593	0.307	0.303	1.84353883690348e-33
chr10:96181478-96181496	0.571	0.233	0.246	1.14847448328702e-47
chr10:96387636-96387654	0.413	0.068	0.764	2.04218155860512e-106
chr10:98162108-98162120	0.685	0.257	0.594	1.49207321755123e-25
chr10:98302686-98302707	0.686	0.342	0.219	4.30047983949394e-106
chr10:98302864-98302890	0.588	0.393	0.56	1.94687183805446e-42
chr10:98303145-98303211	0.613	0.494	0.597	5.56592474964429e-15
chr10:98429749-98429986	0.927	0.374	0.296	5.7926635986581e-89
chr10:98430454-98430698	0.714	0.102	0.201	1.84222145942582e-76
chr10:98465975-98466056	0.693	0.05	0.255	6.52916531135198e-82
chr10:98596114-98596135	0.669	0.146	0.448	2.06621013397328e-79
chr10:98596176-98596211	0.662	0.127	0.289	4.34432290173355e-109
chr10:98709550-98709563	0.603	0.267	0.595	7.97076678923344e-63
chr10:98761491-98761538	0.399	0.214	0.356	0.0183627689995425
chr10:98764286-98764297	0.611	0.028	0.077	3.06536299189802e-118
chr10:98816168-98816187	0.378	0.258	0.494	1.13178517979745e-13
chr10:98906527-98906634	0.673	0.039	0.097	7.12004953836246e-106
chr10:98907995-98908010	0.513	1	0.243	1.04938506822878e-68
chr10:99934089-99934104	0.527	0.128	0.072	2.00067522988743e-53
chr11:100127011-100127020	0.432	0.283	0.147	6.77917596708458e-28
chr11:100238064-100238098	0.379	0.084	0.068	3.61132103946371e-58
chr11:100238232-100238245	0.443	0.086	0.276	7.10322088694951e-48
chr11:100262161-100262301	0.762	0.265	0.43	4.50062680789305e-60
chr11:100333858-100333867	1	NA	NA	NA
chr11:100355291-100355311	0.631	0.297	0.38	1.85334748535689e-46
chr11:100455110-100455379	0.692	0.22	0.025	1.2193654790822e-103
chr11:100477843-100477855	0.549	0.552	0.032	4.55527058245804e-94
chr11:100581396-100581424	0.526	0.412	0.146	8.87032137574717e-66
chr11:100643480-100643512	0.332	0.226	0.399	1.65404876414199e-20
chr11:100841238-100841264	0.471	0.175	0.658	1.53996777896105e-77
chr11:100943693-100943708	1	NA	NA	NA
chr11:101025507-101025517	0.166	0.078	0.587	3.60052056681529e-15
chr11:101025531-101025540	0.085	0.66	0.604	1.91068074405223e-45
chr11:101025714-101025732	0.132	0.109	0.477	2.37645533293833e-32
chr11:101025805-101025840	0.181	0.033	0.453	4.80759771988105e-20
chr11:101349260-101349373	0.718	0.277	0.023	5.05087797765029e-71
chr11:102158271-102158290	1	NA	NA	NA
chr11:102298897-102298921	0.224	0.001	0.633	8.47664372036342e-61
chr11:102299013-102299082	0	NA	0.728	6.63354753486771e-92
chr11:102299124-102299145	NA	NA	0.64	NA
chr11:102299155-102299174	NA	NA	0.602	NA
chr11:102299229-102299254	0	0.001	0.588	1.32358445760158e-101
chr11:102299276-102299301	NA	NA	0.606	NA
chr11:102299450-102299472	NA	NA	0.597	NA
chr11:102299718-102299724	0	0.494	0.619	1.7634332769987e-25
chr11:102428913-102429183	0.825	0.35	0.142	1.52467583212635e-53
chr11:102521065-102521082	0.55	0.264	0.171	3.66701466964872e-53
chr11:102956870-102956882	0.506	0.172	0.502	1.07146048841501e-60
chr11:102999675-102999695	0.258	0.023	0.101	6.92281026585593e-49
chr11:102999713-102999731	0.17	0.243	0.126	7.79297049718967e-14
chr11:102999919-102999952	0.4	0.15	0.009	5.41579601978364e-62
chr11:103022380-103022570	0.648	0.19	0.094	4.61211340188976e-94
chr11:103054302-103054344	0	0	0.655	1.34207088536312e-92
chr11:103054407-103054472	0.048	0.376	0.759	8.13400945564372e-61
chr11:103054475-103054535	NA	0.771	0.89	0.0644677751472124
chr11:103060219-103060227	0.14	0.118	0.649	6.52607556216254e-59
chr11:103060394-103060414	0	0.154	0.637	2.66356511533298e-55
chr11:103060456-103060474	0.081	0	0.747	8.89910515388603e-103
chr11:103060565-103060582	0	NA	0.579	9.43965095031664e-55
chr11:103060703-103060741	NA	NA	0.653	NA
chr11:103060955-103060988	NA	NA	0.676	NA
chr11:103061019-103061106	0	0.001	0.768	5.55190707005846e-229
chr11:103194537-103194548	0.203	0.109	0.505	2.14520502345434e-53
chr11:103194748-103194769	0.157	0.213	0.59	9.0007979632734e-79
chr11:103292553-103292587	0.691	0.329	0.025	2.08158419978674e-81
chr11:103677544-103677552	0.673	0.184	0.493	1.61782681085521e-107
chr11:103702385-103702431	0	0.299	0.474	2.47058908280757e-59
chr11:103702491-103702536	0.663	0	0.332	1.28217177853878e-92
chr11:103741408-103741451	0.389	NA	0.009	4.07670478908168e-86
chr11:103741508-103741530	0.573	0.231	0.049	7.08269143244473e-88
chr11:103761829-103761834	0.651	0.381	0.056	1.61171897585261e-89
chr11:103799893-103799922	0.638	0.436	0.361	3.19090914087211e-32
chr11:103934211-103934220	0.376	0.343	0.057	4.94080959697704e-61
chr11:104148458-104148484	0.447	0.433	0.099	1.22437029007874e-07
chr11:104148594-104148618	0.504	0.439	0.113	5.41202766251974e-39
chr11:104148638-104148677	0.427	0.413	0.067	1.00186832485504e-57
chr11:104148744-104148766	0.454	0.355	0.029	3.15651658420247e-82
chr11:104162891-104162962	0.637	0.289	0.267	2.59021306080914e-49
chr11:104286505-104286515	0.527	0.203	0.673	6.97655663886257e-72
chr11:104442988-104443059	0.643	0.034	0.437	3.69602092753415e-115
chr11:104480651-104480659	0.484	0.312	0.428	2.69110280125909e-33
chr11:105026084-105026130	0.197	0.195	0.131	1.01633952891578e-12
chr11:105026141-105026181	0.229	0.214	0.057	5.90640485498439e-40
chr11:105026193-105026202	0.152	0.385	0.125	2.17222130864648e-40
chr11:105026217-105026302	0.183	0.355	0.09	2.24794435515915e-62
chr11:105026334-105026361	0.083	0.072	0.215	4.15225584595865e-18
chr11:105026368-105026398	0.171	0.229	0.277	5.79640505725456e-08
chr11:105026408-105026445	0.145	0.197	0.176	1.8104299849586e-05
chr11:105026499-105026526	0.111	0.046	0.097	0.445889002509448
chr11:105026558-105026571	0.356	0.462	0.078	4.24646236002033e-41
chr11:105026605-105026622	0.291	0.084	0.058	5.248443344003e-44
chr11:105027392-105027407	0.211	0.074	0.341	1.88395210387043e-29
chr11:105042443-105042454	NA	NA	1	NA
chr11:105043032-105043074	NA	NA	0.742	NA
chr11:105043135-105043149	NA	NA	1	NA
chr11:105082502-105082607	0.543	1	0.116	8.91082006376372e-106
chr11:105880125-105880157	0.255	0.157	0.011	4.91033749162141e-61
chr11:106428863-106428922	0.714	0.331	0.196	1.70486195936802e-64
chr11:106428991-106429044	0.615	0.383	0.019	5.91746486914131e-109
chr11:106560841-106560853	0.632	0.232	0.317	2.95602479211353e-54
chr11:106679920-106679930	0.505	0.149	0.531	3.37433593344262e-64
chr11:106889380-106889384	1	NA	NA	NA
